"diseases","keep"
"BK polyomavirus VP1 antibody levels",1
"C-reactive protein",1
"C-reactive protein (red blood cell fatty acid level interaction)",1
"C-reactive protein and white blood cell count",1
"C-reactive protein levels",1
"C-reactive protein levels or HDL-cholesterol levels (pleiotropy)",1
"C-reactive protein levels or LDL-cholesterol levels (pleiotropy)",1
"C-reactive protein levels or total cholesterol levels (pleiotropy)",1
"C-reactive protein levels or triglyceride levels (pleiotropy)",1
"C-X-C motif chemokine 10 levels",1
"Candida albicans stimulated CCL3 levels",1
"Candida albicans stimulated IL-8 levels",1
"Candida albicans stimulated MCP-2 levels",1
"Candida albicans stimulated MMP-1 levels",1
"CCL19 levels",1
"CCL23 levels",1
"CCL24 levels",1
"CCL25 levels",1
"CCR2 on CD14- CD16-",1
"CCR2 on CD14- CD16+ monocyte",1
"CCR2 on CD14+ CD16- monocyte",1
"CCR2 on CD14+ CD16+ monocyte",1
"CCR2 on CD62L+ myeloid Dendritic Cell",1
"CCR2 on CD62L+ plasmacytoid Dendritic Cell",1
"CCR2 on granulocyte",1
"CCR2 on monocyte",1
"CCR2 on myeloid Dendritic Cell",1
"CCR2 on plasmacytoid Dendritic Cell",1
"CCR7 on naive CD4+ T cell",1
"CCR7 on naive CD8+ T cell",1
"CD11b on basophil",1
"CD11b on CD14+ monocyte",1
"CD11b on CD33+ HLA DR+ CD14dim",1
"CD11b on CD33dim HLA DR-",1
"CD11b on Monocytic Myeloid-Derived Suppressor Cells",1
"CD11c on CD62L+ myeloid Dendritic Cell",1
"CD11c on granulocyte",1
"CD11c on monocyte",1
"CD11c on myeloid Dendritic Cell",1
"CD11c+ CD62L- monocyte Absolute Count",1
"CD11c+ HLA DR++ monocyte %monocyte",1
"CD11c+ HLA DR++ monocyte Absolute Count",1
"CD123 on CD62L+ plasmacytoid Dendritic Cell",1
"CD123 on plasmacytoid Dendritic Cell",1
"CD127- CD8+ T cell Absolute Count",1
"CD127 on CD28- CD8+ T cell",1
"CD127 on CD28+ CD4-CD8- T cell",1
"CD127 on CD28+ CD4+ T cell",1
"CD127 on CD28+ CD45RA- CD8+ T cell",1
"CD127 on CD28+ CD45RA+ CD8+ T cell",1
"CD127 on CD4+ T cell",1
"CD127 on CD45RA- CD4 not regulatory T cell",1
"CD127 on CD45RA+ CD4+ T cell",1
"CD127 on CD8+ T cell",1
"CD127 on granulocyte",1
"CD14- CD16- Absolute Count",1
"CD14- CD16+ monocyte %monocyte",1
"CD14- CD16+ monocyte Absolute Count",1
"CD14 on CD14+ CD16- monocyte",1
"CD14 on CD14+ CD16+ monocyte",1
"CD14 on CD33+ HLA DR+ CD14dim",1
"CD14 on CD33dim HLA DR+ CD11b+",1
"CD14+ CD16- monocyte %monocyte",1
"CD14+ CD16- monocyte Absolute Count",1
"CD14+ CD16+ monocyte %monocyte",1
"CD14+ CD16+ monocyte Absolute Count",1
"CD16-CD56 on HLA DR+ Natural Killer",1
"CD16-CD56 on Natural Killer",1
"CD16-CD56 on Natural Killer T",1
"CD16 on CD14- CD16+ monocyte",1
"CD16 on CD14+ CD16+ monocyte",1
"CD16+ monocyte %monocyte",1
"CD19 on B cell",1
"CD19 on CD20- CD38- B cell",1
"CD19 on CD24+ CD27+ B cell",1
"CD19 on IgD- CD27- B cell",1
"CD19 on IgD- CD38- B cell",1
"CD19 on IgD- CD38dim B cell",1
"CD19 on IgD+ B cell",1
"CD19 on IgD+ CD24- B cell",1
"CD19 on IgD+ CD24+ B cell",1
"CD19 on IgD+ CD38- B cell",1
"CD19 on IgD+ CD38+ B cell",1
"CD19 on IgD+ CD38dim B cell",1
"CD19 on memory B cell",1
"CD19 on naive-mature B cell",1
"CD19 on switched memory B cell",1
"CD19 on transitional B cell",1
"CD19 on unswitched memory B cell",1
"CD20- CD38- B cell %B cell",1
"CD20 on B cell",1
"CD20 on CD24+ CD27+ B cell",1
"CD20 on IgD- CD24- B cell",1
"CD20 on IgD- CD27- B cell",1
"CD20 on IgD- CD38- B cell",1
"CD20 on IgD- CD38dim B cell",1
"CD20 on IgD+ B cell",1
"CD20 on IgD+ CD24- B cell",1
"CD20 on IgD+ CD24+ B cell",1
"CD20 on IgD+ CD38- B cell",1
"CD20 on IgD+ CD38+ B cell",1
"CD20 on IgD+ CD38dim B cell",1
"CD20 on memory B cell",1
"CD20 on naive-mature B cell",1
"CD20 on switched memory B cell",1
"CD20 on transitional B cell",1
"CD20 on unswitched memory B cell",1
"CD24 on CD24+ CD27+ B cell",1
"CD24 on IgD- CD38- B cell",1
"CD24 on IgD- CD38dim B cell",1
"CD24 on IgD+ CD24+ B cell",1
"CD24 on IgD+ CD38- B cell",1
"CD24 on IgD+ CD38+ B cell",1
"CD24 on memory B cell",1
"CD24 on switched memory B cell",1
"CD24 on transitional B cell",1
"CD24 on unswitched memory B cell",1
"CD24+ CD27+ B cell %B cell",1
"CD24+ CD27+ B cell %lymphocyte",1
"CD24+ CD27+ B cell Absolute Count",1
"CD25 on activated CD4 regulatory T cell",1
"CD25 on B cell",1
"CD25 on CD24+ CD27+ B cell",1
"CD25 on CD28+ CD4+ T cell",1
"CD25 on CD39+ activated CD4 regulatory T cell",1
"CD25 on CD39+ CD4 regulatory T cell",1
"CD25 on CD39+ CD4+ T cell",1
"CD25 on CD39+ resting CD4 regulatory T cell",1
"CD25 on CD39+ secreting CD4 regulatory T cell",1
"CD25 on CD4+ T cell",1
"CD25 on CD45RA- CD4 not regulatory T cell",1
"CD25 on CD45RA+ CD4 not regulatory T cell",1
"CD25 on IgD- CD24- B cell",1
"CD25 on IgD- CD27- B cell",1
"CD25 on IgD- CD38- B cell",1
"CD25 on IgD- CD38dim B cell",1
"CD25 on IgD+ B cell",1
"CD25 on IgD+ CD24- B cell",1
"CD25 on IgD+ CD24+ B cell",1
"CD25 on IgD+ CD38- B cell",1
"CD25 on IgD+ CD38+ B cell",1
"CD25 on IgD+ CD38dim B cell",1
"CD25 on memory B cell",1
"CD25 on naive-mature B cell",1
"CD25 on resting CD4 regulatory T cell",1
"CD25 on secreting CD4 regulatory T cell",1
"CD25 on switched memory B cell",1
"CD25 on transitional B cell",1
"CD25 on unswitched memory B cell",1
"CD25++ CD4+ T cell %CD4+ T cell",1
"CD25++ CD4+ T cell %T cell",1
"CD25++ CD4+ T cell Absolute Count",1
"CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell",1
"CD25++ CD45RA- CD4 not regulatory T cell %T cell",1
"CD25++ CD45RA- CD4 not regulatory T cell Absolute Count",1
"CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell",1
"CD25++ CD45RA+ CD4 not regulatory T cell %T cell",1
"CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count",1
"CD25++ CD8+ T cell %CD8+ T cell",1
"CD25++ CD8+ T cell %T cell",1
"CD25++ CD8+ T cell Absolute Count",1
"CD27 on CD24+ CD27+ B cell",1
"CD27 on IgD- CD38- B cell",1
"CD27 on IgD- CD38+ B cell",1
"CD27 on IgD- CD38dim B cell",1
"CD27 on IgD+ CD24+ B cell",1
"CD27 on memory B cell",1
"CD27 on Plasma Blast-Plasma Cell",1
"CD27 on switched memory B cell",1
"CD27 on unswitched memory B cell",1
"CD28- CD127- CD25++ CD8+ T cell Absolute Count",1
"CD28- CD25++ CD8+ T cell %CD8+ T cell",1
"CD28- CD25++ CD8+ T cell %T cell",1
"CD28- CD25++ CD8+ T cell Absolute Count",1
"CD28- CD4-CD8- T cell %CD4-CD8- T cell",1
"CD28- CD4-CD8- T cell %T cell",1
"CD28- CD4-CD8- T cell Absolute Count",1
"CD28- CD8+ T cell %CD8+ T cell",1
"CD28- CD8+ T cell %T cell",1
"CD28- CD8+ T cell Absolute Count",1
"CD28- CD8dim T cell %CD8dim T cell",1
"CD28- CD8dim T cell %T cell",1
"CD28- CD8dim T cell Absolute Count",1
"CD28 on activated & secreting CD4 regulatory T cell",1
"CD28 on activated CD4 regulatory T cell",1
"CD28 on CD28+ CD4-CD8- T cell",1
"CD28 on CD28+ CD4+ T cell",1
"CD28 on CD28+ CD45RA- CD8+ T cell",1
"CD28 on CD28+ CD45RA+ CD8+ T cell",1
"CD28 on CD39+ activated CD4 regulatory T cell",1
"CD28 on CD39+ CD4+ T cell",1
"CD28 on CD39+ CD8+ T cell",1
"CD28 on CD39+ resting CD4 regulatory T cell",1
"CD28 on CD39+ secreting CD4 regulatory T cell",1
"CD28 on CD4 regulatory T cell",1
"CD28 on CD4+ T cell",1
"CD28 on CD45RA- CD4 not regulatory T cell",1
"CD28 on CD45RA+ CD4+ T cell",1
"CD28 on resting CD4 regulatory T cell",1
"CD28 on secreting CD4 regulatory T cell",1
"CD28+ CD4-CD8- T cell %CD4-CD8- T cell",1
"CD28+ CD4-CD8- T cell %T cell",1
"CD28+ CD45RA- CD8+ T cell %CD8+ T cell",1
"CD28+ CD45RA+ CD8+ T cell %T cell",1
"CD28+ CD45RA+ CD8+ T cell Absolute Count",1
"CD28+ CD45RA+ CD8dim T cell %CD8dim T cell",1
"CD28+ CD45RA+ CD8dim T cell %T cell",1
"CD28+ CD45RA+ CD8dim T cell Absolute Count",1
"CD3- lymphocyte %leukocyte",1
"CD3- lymphocyte %lymphocyte",1
"CD3 on activated & secreting CD4 regulatory T cell",1
"CD3 on activated CD4 regulatory T cell",1
"CD3 on CD28- CD8+ T cell",1
"CD3 on CD28+ CD4+ T cell",1
"CD3 on CD28+ CD45RA- CD8+ T cell",1
"CD3 on CD28+ CD45RA+ CD8+ T cell",1
"CD3 on CD39+ activated CD4 regulatory T cell",1
"CD3 on CD39+ CD4+ T cell",1
"CD3 on CD39+ CD8+ T cell",1
"CD3 on CD39+ resting CD4 regulatory T cell",1
"CD3 on CD39+ secreting CD4 regulatory T cell",1
"CD3 on CD4 regulatory T cell",1
"CD3 on CD4+ T cell",1
"CD3 on CD45RA- CD4+ T cell",1
"CD3 on CD45RA+ CD4+ T cell",1
"CD3 on CD8+ T cell",1
"CD3 on Central Memory CD4+ T cell",1
"CD3 on Central Memory CD8+ T cell",1
"CD3 on Effector Memory CD4+ T cell",1
"CD3 on Effector Memory CD8+ T cell",1
"CD3 on HLA DR+ CD4+ T cell",1
"CD3 on HLA DR+ CD8+ T cell",1
"CD3 on HLA DR+ T cell",1
"CD3 on Naive CD4+ T cell",1
"CD3 on naive CD8+ T cell",1
"CD3 on Natural Killer T",1
"CD3 on resting CD4 regulatory T cell",1
"CD3 on secreting CD4 regulatory T cell",1
"CD3 on Terminally Differentiated CD4+ T cell",1
"CD3 on Terminally Differentiated CD8+ T cell",1
"CD33- HLA DR- Absolute Count",1
"CD33- HLA DR+ Absolute Count",1
"CD33 on basophil",1
"CD33 on CD14+ monocyte",1
"CD33 on CD33+ HLA DR+",1
"CD33 on CD33+ HLA DR+ CD14-",1
"CD33 on CD33+ HLA DR+ CD14dim",1
"CD33 on CD33dim HLA DR-",1
"CD33 on CD33dim HLA DR+ CD11b-",1
"CD33 on CD33dim HLA DR+ CD11b+",1
"CD33 on CD66b++ myeloid cell",1
"CD33 on Granulocytic Myeloid-Derived Suppressor Cells",1
"CD33 on Immature Myeloid-Derived Suppressor Cells",1
"CD33 on Monocytic Myeloid-Derived Suppressor Cells",1
"CD33+ HLA DR+ Absolute Count",1
"CD33+ HLA DR+ CD14- %CD33+ HLA DR+",1
"CD33+ HLA DR+ CD14- Absolute Count",1
"CD33+ HLA DR+ CD14dim %CD33+ HLA DR+",1
"CD33+ HLA DR+ CD14dim Absolute Count",1
"CD33dim HLA DR- Absolute Count",1
"CD33dim HLA DR+ CD11b- %CD33dim HLA DR+",1
"CD33dim HLA DR+ CD11b- Absolute Count",1
"CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+",1
"CD33dim HLA DR+ CD11b+ Absolute Count",1
"CD34 on Hematopoietic Stem Cell",1
"CD38 on IgD- CD38dim B cell",1
"CD38 on IgD+ B cell",1
"CD38 on IgD+ CD24- B cell",1
"CD38 on IgD+ CD38+ B cell",1
"CD38 on IgD+ CD38dim B cell",1
"CD38 on naive-mature B cell",1
"CD38 on transitional B cell",1
"CD39 on CD39+ activated CD4 regulatory T cell",1
"CD39 on CD39+ CD4+ T cell",1
"CD39 on CD39+ CD8+ T cell",1
"CD39 on CD39+ secreting CD4 regulatory T cell",1
"CD39 on granulocyte",1
"CD39 on monocyte",1
"CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell",1
"CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell",1
"CD39+ activated CD4 regulatory T cell Absolute Count",1
"CD39+ CD4+ T cell %CD4+ T cell",1
"CD39+ CD4+ T cell %T cell",1
"CD39+ CD4+ T cell Absolute Count",1
"CD39+ CD8+ T cell %CD8+ T cell",1
"CD39+ CD8+ T cell %T cell",1
"CD39+ CD8+ T cell Absolute Count",1
"CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell",1
"CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell",1
"CD39+ resting CD4 regulatory T cell Absolute Count",1
"CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell",1
"CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell",1
"CD39+ secreting CD4 regulatory T cell Absolute Count",1
"CD4-CD8- Natural Killer T %lymphocyte",1
"CD4-CD8- Natural Killer T %T cell",1
"CD4-CD8- Natural Killer T Absolute Count",1
"CD4-CD8- T cell %leukocyte",1
"CD4-CD8- T cell %T cell",1
"CD4-CD8- T cell Absolute Count",1
"CD4 on activated & secreting CD4 regulatory T cell",1
"CD4 on activated CD4 regulatory T cell",1
"CD4 on CD28+ CD4+ T cell",1
"CD4 on CD39+ activated CD4 regulatory T cell",1
"CD4 on CD39+ CD4+ T cell",1
"CD4 on CD39+ secreting CD4 regulatory T cell",1
"CD4 on CD4 regulatory T cell",1
"CD4 on CD4+ T cell",1
"CD4 on CD45RA+ CD4+ T cell",1
"CD4 on Central Memory CD4+ T cell",1
"CD4 on Effector Memory CD4+ T cell",1
"CD4 on HLA DR+ CD4+ T cell",1
"CD4 on monocyte",1
"CD4 on naive CD4+ T cell",1
"CD4 on resting CD4 regulatory T cell",1
"CD4 on secreting CD4 regulatory T cell",1
"CD4 regulatory T cell %CD4+ T cell",1
"CD4 regulatory T cell %T cell",1
"CD4:CD8 lymphocyte ratio",1
"CD4+ CD8dim T cell %leukocyte",1
"CD4+ CD8dim T cell %lymphocyte",1
"CD4+ CD8dim T cell Absolute Count",1
"CD4+ T cell %leukocyte",1
"CD4+ T cell %T cell",1
"CD4+ T cell Absolute Count",1
"CD4+/CD8+ T cell",1
"CD4+CD8+ T cell %leukocyte",1
"CD4+CD8+ T cell %T cell",1
"CD4+CD8+ T cell Absolute Count",1
"CD40 levels",1
"CD40 ligand levels",1
"CD40 on CD14- CD16+ monocyte",1
"CD40 on CD14+ CD16- monocyte",1
"CD40 on CD14+ CD16+ monocyte",1
"CD40 on monocytes",1
"CD45 on B cell",1
"CD45 on CD14+ monocyte",1
"CD45 on CD33- HLA DR-",1
"CD45 on CD33- HLA DR+",1
"CD45 on CD33+ HLA DR+ CD14-",1
"CD45 on CD33dim HLA DR-",1
"CD45 on CD4+ T cell",1
"CD45 on CD8+ T cell",1
"CD45 on granulocyte",1
"CD45 on HLA DR+ CD4+ T cell",1
"CD45 on HLA DR+ T cell",1
"CD45 on Immature Myeloid-Derived Suppressor Cells",1
"CD45 on lymphocyte",1
"CD45 on Natural Killer",1
"CD45 on Natural Killer T",1
"CD45RA- CD4+ T cell %CD4+ T cell",1
"CD45RA- CD4+ T cell %T cell",1
"CD45RA- CD4+ T cell Absolute Count",1
"CD45RA on CD39+ resting CD4 regulatory T cell",1
"CD45RA on naive CD4+ T cell",1
"CD45RA on naive CD8+ T cell",1
"CD45RA on resting CD4 regulatory T cell",1
"CD45RA on Terminally Differentiated CD8+ T cell",1
"CD45RA+ CD8+ T cell %CD8+ T cell",1
"CD45RA+ CD8+ T cell %T cell",1
"CD45RA+ CD8+ T cell Absolute Count",1
"CD4RA on Terminally Differentiated CD4+ T cell",1
"CD6 levels",1
"CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell",1
"CD62L- CD86+ myeloid Dendritic Cell Absolute Count",1
"CD62L- Dendritic Cell %Dendritic Cell",1
"CD62L- Dendritic Cell Absolute Count",1
"CD62L- monocyte %monocyte",1
"CD62L- monocyte Absolute Count",1
"CD62L- myeloid Dendritic Cell %Dendritic Cell",1
"CD62L- myeloid Dendritic Cell Absolute Count",1
"CD62L- plasmacytoid Dendritic Cell %Dendritic Cell",1
"CD62L- plasmacytoid Dendritic Cell Absolute Count",1
"CD62L on CD62L+ Dendritic Cell",1
"CD62L on CD62L+ myeloid Dendritic Cell",1
"CD62L on CD62L+ plasmacytoid Dendritic Cell",1
"CD62L on monocyte",1
"CD64 on CD14- CD16-",1
"CD64 on CD14- CD16+ monocyte",1
"CD64 on CD14+ CD16- monocyte",1
"CD64 on CD14+ CD16+ monocyte",1
"CD64 on monocyte",1
"CD8-positive T-lymphocyte count",1
"CD8 on CD28- CD8+ T cell",1
"CD8 on CD28+ CD45RA- CD8+ T cell",1
"CD8 on CD28+ CD45RA+ CD8+ T cell",1
"CD8 on CD39+ CD8+ T cell",1
"CD8 on CD8+ T cell",1
"CD8 on Central Memory CD8+ T cell",1
"CD8 on Effector Memory CD8+ T cell",1
"CD8 on HLA DR+ CD8+ T cell",1
"CD8 on naive CD8+ T cell",1
"CD8 on Natural Killer T",1
"CD8+ and CD8dim T cell %leukocyte",1
"CD8+ Natural Killer T %lymphocyte",1
"CD8+ Natural Killer T %T cell",1
"CD8+ Natural Killer T Absolute Count",1
"CD8+ T cell %leukocyte",1
"CD8+ T cell %T cell",1
"CD8+ T cell Absolute Count",1
"CD80 on CD62L+ myeloid Dendritic Cell",1
"CD80 on CD62L+ plasmacytoid Dendritic Cell",1
"CD80 on granulocyte",1
"CD80 on monocyte",1
"CD80 on myeloid Dendritic Cell",1
"CD80 on plasmacytoid Dendritic Cell",1
"CD86 on granulocyte",1
"CD86 on monocyte",1
"CD86+ myeloid Dendritic Cell %Dendritic Cell",1
"CD86+ myeloid Dendritic Cell Absolute Count",1
"CD86+ plasmacytoid Dendritic Cell %Dendritic Cell",1
"CD8dim Natural Killer T %lymphocyte",1
"CD8dim Natural Killer T %T cell",1
"CD8dim Natural Killer T Absolute Count",1
"CD8dim T cell %leukocyte",1
"CD8dim T cell %T cell",1
"CD8dim T cell Absolute Count",1
"Cellular adhesion molecule (red blood cell fatty acid level interaction)",1
"Cellular nuclear factor (erythroid-derived 2)-like 2 levels",1
"Central Memory CD4+ T cell %CD4+ T cell",1
"Central Memory CD4+ T cell %T cell",1
"Central Memory CD4+ T cell Absolute Count",1
"Cerebrospinal fluid clusterin levels",1
"Cerebrospinal fluid immune biomarker levels",1
"Chlamydia trachomatis pGP3 antibody levels",1
"Chlamydia trachomatis PorB antibody levels",1
"Circulating chemerin levels",1
"Complement C3 and C4 levels",1
"Complement C3 levels",1
"Complement C4 levels",1
"Complement factor H-like 1 protein levels",1
"Complement factor H-related protein 1 levels",1
"Complement factor H-related protein 2 levels",1
"Complement factor H-related protein 3 levels",1
"Complement factor H-related protein 4 levels",1
"Complement factor H-related protein 4A levels",1
"Complement factor H-related protein 5 levels",1
"Complement factor H binding to malondialdehyde",1
"Complement factor H levels",1
"Complement factor H measurement",1
"Composite immunoglobulin trait (IgA x IgG x IgM)",1
"Composite immunoglobulin trait (IgA x IgG)",1
"Composite immunoglobulin trait (IgA x IgG/IgM)",1
"Composite immunoglobulin trait (IgA/IgG)",1
"Composite immunoglobulin trait (IgA/IgM)",1
"Composite immunoglobulin trait (IgG/IgM)",1
"Cutaneous mastocytosis",1
"Cutaneous mastocytosis (adult)",1
"Cutaneous mastocytosis (childhood)",1
"CX3CR1 on CD14- CD16-",1
"CX3CR1 on CD14- CD16+ monocyte",1
"CX3CR1 on CD14+ CD16- monocyte",1
"CX3CR1 on CD14+ CD16+ monocyte",1
"CX3CR1 on monocyte",1
"CXCL5 levels",1
"CXCL6 levels",1
"Cytokine-stimulated IL-6 production",1
"Cytokine and corticosteroid-stimulated IL-6 production",1
"Cytokine levels",1
"Cytokine network levels (multivariate analysis)",1
"Cytomegalovirus antibody response",1
"Cytomegalovirus high-level reactivation after ﻿allogeneic hematopoietic cell transplantation (﻿donors)",1
"Cytomegalovirus high-level reactivation after ﻿allogeneic hematopoietic cell transplantation (﻿recipients)",1
"Cytomegalovirus infection after ﻿allogeneic hematopoietic cell transplantation (﻿donors)",1
"Cytomegalovirus infection after ﻿allogeneic hematopoietic cell transplantation (﻿recipients)",1
"Cytomegalovirus pp28 antibody levels",1
"Cytomegalovirus reactivation after ﻿allogeneic hematopoietic cell transplantation (﻿donors)",1
"Cytomegalovirus reactivation after ﻿allogeneic hematopoietic cell transplantation (﻿recipients)",1
"Dendritic Cell Absolute Count",1
"DNA methylation-estimated granulocyte proportions",1
"E-selectin levels",1
"Effector Memory CD4-CD8- T cell %CD4-CD8- T cell",1
"Effector Memory CD4-CD8- T cell %T cell",1
"Effector Memory CD4-CD8- T cell Absolute Count",1
"Effector Memory CD4+ T cell %CD4+ T cell",1
"Effector Memory CD4+ T cell %T cell",1
"Effector Memory CD4+ T cell Absolute Count",1
"Effector Memory CD8+ T cell %CD8+ T cell",1
"Effector Memory CD8+ T cell %T cell",1
"Effector Memory CD8+ T cell Absolute Count",1
"Endothelial cell-specific molecule 1 levels",1
"Eosinophil cationic protein levels",1
"Eosinophil counts",1
"Eosinophil percentage of granulocytes",1
"Eosinophil percentage of white cells",1
"Eosinophill count (UKB data field 30150)",1
"Eosinophill percentage (UKB data field 30210)",1
"epithelial cell adhesion molecule levels",1
"Epstein-Barr virus copy number in lymphoblastoid cell lines",1
"Epstein-Barr virus EA-D antibody levels",1
"Epstein-Barr virus EBNA-1 antibody levels",1
"Epstein-Barr virus immune response (EBNA-1)",1
"Epstein-Barr virus immune response (multivariate analysis)",1
"Epstein-Barr virus VCA p18 antibody levels",1
"Epstein-Barr virus ZEBRA antibody levels",1
"Epstein Barr virus nuclear antigen 1 IgG levels",1
"Epstein Barr virus nuclear antigen 1 IgG seropositivity",1
"Extranodal natural killer T-cell lymphoma (nasal type)",1
"Ferritin levels",1
"Fibrinogen",1
"Fibrinogen levels",1
"Fibrinogen levels (smoking status, alcohol consumption or body mass index interaction)",1
"Food antigen IgG levels",1
"FSC-A on CD14+ monocyte",1
"FSC-A on CD4+ T cell",1
"FSC-A on CD8+ T cell",1
"FSC-A on granulocyte",1
"FSC-A on HLA DR+ Natural Killer",1
"FSC-A on monocyte",1
"FSC-A on myeloid Dendritic Cell",1
"FSC-A on Natural Killer",1
"FSC-A on Natural Killer T",1
"FSC-A on plasmacytoid Dendritic Cell",1
"Gamma glutamyl transferase levels",1
"Gamma glutamyl transferase levels in excessive alcohol consumption",1
"Gamma glutamyl transferase levels in low alcohol consumption",1
"Granulocyte-colony stimulating factor levels",1
"Granulocyte %leukocyte",1
"Granulocyte Absolute Count",1
"Granulocyte count",1
"Granulocyte percentage of myeloid white cells",1
"Granulocytic Myeloid-Derived Suppressor Cells Absolute Count",1
"Helicobacter pylori OMP antibody levels",1
"Helicobacter pylori UREA antibody levels",1
"Hematopoietic Stem Cell Absolute Count",1
"Hepatitis B vaccine response",1
"Herpes simplex virus 2 mgG-1 antibody levels",1
"High-sensitivity C-reactive protein levels in HIV infection",1
"High IL-1beta levels in gingival crevicular fluid",1
"HLA DR on B cell",1
"HLA DR on CD14- CD16-",1
"HLA DR on CD14- CD16+ monocyte",1
"HLA DR on CD14+ CD16- monocyte",1
"HLA DR on CD14+ CD16+ monocyte",1
"HLA DR on CD14+ monocyte",1
"HLA DR on CD33- HLA DR+",1
"HLA DR on CD33+ HLA DR+ CD14-",1
"HLA DR on CD33+ HLA DR+ CD14dim",1
"HLA DR on CD33dim HLA DR+ CD11b-",1
"HLA DR on CD33dim HLA DR+ CD11b+",1
"HLA DR on Dendritic Cell",1
"HLA DR on Hematopoietic Stem Cell",1
"HLA DR on HLA DR+ CD4+ T cell",1
"HLA DR on HLA DR+ Natural Killer",1
"HLA DR on HLA DR+ T cell",1
"HLA DR on monocyte",1
"HLA DR on myeloid Dendritic Cell",1
"HLA DR on plasmacytoid Dendritic Cell",1
"HLA DR+ CD4+ T cell %lymphocyte",1
"HLA DR+ CD4+ T cell %T cell",1
"HLA DR+ CD4+ T cell Absolute Count",1
"HLA DR+ CD8+ T cell %lymphocyte",1
"HLA DR+ CD8+ T cell %T cell",1
"HLA DR+ CD8+ T cell Absolute Count",1
"HLA DR+ Natural Killer  %CD3- lymphocyte",1
"HLA DR+ Natural Killer %Natural Killer",1
"HLA DR+ Natural Killer Absolute Count",1
"HLA DR+ T cell Absolute Count",1
"HLA DR+ T cell%lymphocyte",1
"HLA DR+ T cell%T cell",1
"HLA DR++ monocyte %leukocyte",1
"HLA DR++ monocyte %monocyte",1
"HLA DR++ monocyte Absolute Count",1
"Human herpes virus 6 IE1A antibody levels",1
"Human herpes virus 7 U14 antibody levels",1
"Human polyomavirus 6 VP1 antibody levels",1
"HVEM on CD4+ T cell",1
"HVEM on CD45RA- CD4+ T cell",1
"HVEM on CD8+ T cell",1
"HVEM on Central Memory CD4+ T cell",1
"HVEM on Central Memory CD8+ T cell",1
